Campaign name,Ad group name,Ad name,Optimization goal,By Day,Account name,Cost,Impressions,Clicks (destination),Reach,Conversions,Currency,Tipo de Producto,PRODUCTO DETALLE,OBJETIVO,CANAL,MODALIDAD,SEDE,Nombre Campaña
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-03-11,PE_SMB_IMS_SISE,11.96,65055,86,64873,0,USD,CARRERA,GENERAL,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-03-18,PE_SMB_IMS_SISE,11.95,65765,89,65090,0,USD,CARRERA,GENERAL,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-03-06,PE_SMB_IMS_SISE,11.95,74283,104,73601,0,USD,CARRERA,GASTRONOMIA,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,intereses_prioridad-1_cpl,vid_redes-23.05_intereses_video,Conversion,2025-02-01,PE_SMB_IMS_SISE,11.95,26683,49,26395,0,USD,CARRERA,REDES Y SEGURIDAD INFORMATICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,smart_todas-las-carreras_cpl,_001,Conversion,2025-03-28,PE_SMB_IMS_SISE,11.94,13273,29,12627,0,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_2_conversiones_subasta_refuerzo,lal_refuerzo_cpl,vid_fisioterapia_05-feb-2025_lal_spark-ads,Conversion,2025-02-11,PE_SMB_IMS_SISE,11.92,23807,23,22439,3,USD,CARRERA,FISIOTERAPIA Y REHABILITACION,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-01-05,PE_SMB_IMS_SISE Idiomas2,11.92,26057,43,22686,3,USD,INGLÉS,INGLES,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_ingles
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,intereses_prioridad-1_cpl,vid_negocios-internacionales_13-nov-2024_intereses_video,Conversion,2025-01-08,PE_SMB_IMS_SISE,11.92,40316,59,38268,1,USD,CARRERA,ADM DE NEGOCIOS INTERN,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_gastronomia,intereses_gastronomia_cpl,vid_tiktok-gastronomia-14-oct-24_intereses_video,Conversion,2025-01-25,PE_SMB_IMS_SISE,11.91,36546,47,33809,5,USD,CARRERA,GASTRONOMIA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_gastronomia
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_salud,lal_salud_cpl,vid_enfermeria-m4_12-nov-2024_lal_video,Conversion,2025-01-05,PE_SMB_IMS_SISE,11.9,31605,58,28939,2,USD,CARRERA,ENFERMERIA TECNICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_salud
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_carreras-varias,intereses_carreras-nuevas_cpl,vid_diseno-interiores_12-nov-2024_intereses-carreras-nuevas_video,Conversion,2025-01-18,PE_SMB_IMS_SISE,11.9,31811,41,30026,2,USD,CARRERA,DISEÑO DE INTERIORES,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_carreras-varias
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_refuerzo-horas-clave,abierto_refuerzo_cpl,vid_enfermeria-m5_12-nov-2024_intereses_video,Conversion,2025-01-21,PE_SMB_IMS_SISE,11.9,19756,33,19099,1,USD,CARRERA,ENFERMERIA TECNICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo-horas-clave
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,smart_todas-las-carreras_cpl,_001,Conversion,2025-02-20,PE_SMB_IMS_SISE,11.87,31063,73,29578,1,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_salud,intereses_salud_cpl,vid_fisioterapia-refresh-marzo_intereses_video,Conversion,2025-01-25,PE_SMB_IMS_SISE,11.87,28812,50,26528,2,USD,CARRERA,FISIOTERAPIA Y REHABILITACION,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_salud
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-3,intereses_prioridad-3_cpl,vid_comunicacion-audiovisual-2_intereses_video,Conversion,2025-01-27,PE_SMB_IMS_SISE,11.87,20442,53,19335,2,USD,CARRERA,COMUNICACION AUDIOVISUAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-3
SIS-Cursos_social-media_tiktok_aon_2025_1_conversiones_subasta_generics,abierto_generics_cpl,vid_excel_intereses_video,Conversion,2025-01-08,PE_SMB_IMS_SISE_Cursos,11.87,36398,73,33240,12,USD,EXTENSIÓN,ESPECIALISTA EN EXCEL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_generics
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-3,intereses_prioridad-3_cpl,vid_comunicacion-audiovisual-22.05_intereses_video,Conversion,2025-01-21,PE_SMB_IMS_SISE,11.86,24338,53,23430,0,USD,CARRERA,COMUNICACION AUDIOVISUAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-3
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-publicidad-marketing_05-mar-2025_intereses_spark-ads,Impression,2025-03-06,PE_SMB_IMS_SISE,11.85,69560,99,69206,0,USD,CARRERA,PUBLICIDAD Y MARKETING DIGITAL,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,smart_todas-las-carreras_cpl,_001,Conversion,2025-03-22,PE_SMB_IMS_SISE,11.84,24491,35,23078,0,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-01-31,PE_SMB_IMS_SISE Idiomas2,11.81,25056,45,22321,2,USD,INGLÉS,INGLES,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_ingles
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,smart_todas-las-carreras_cpl,_001,Conversion,2025-03-03,PE_SMB_IMS_SISE,11.79,47325,85,44164,3,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_computacion-informatica,rmkt_computacion-informatica_cpl,vid_computacion-informatica-m4_12-nov-2024_rmkt_video,Conversion,2025-01-31,PE_SMB_IMS_SISE,11.78,40458,58,37114,6,USD,CARRERA,SOFTWARE Y SISTEMAS,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_computacion-informatica
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_influencers,rmk_influencers_cpl,vid_chico-de-las-noticias-admi_10-ene-2025_rmk_spark-ads,Conversion,2025-02-02,PE_SMB_IMS_SISE,11.78,36051,207,33027,8,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_influencers
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_audiovisuales,intereses_audivisuales_cpl,vid_comunicacion-audiovisual-junio_intereses_video,Conversion,2025-01-24,PE_SMB_IMS_SISE,11.77,24048,34,23557,0,USD,CARRERA,COMUNICACION AUDIOVISUAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_audiovisuales
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_computacion-informatica,rmkt_computacion-informatica_cpl,vid_computacion-informatica-m1_12-nov-2024_rmkt_video,Conversion,2025-01-24,PE_SMB_IMS_SISE,11.77,26018,23,24236,1,USD,CARRERA,SOFTWARE Y SISTEMAS,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_computacion-informatica
