Reporte_CPL_Google - PBI TOTAL
"April 1, 2025 - April 15, 2025"
Account name,Customer ID,Campaign,Landing page,Day,Clicks,Impr.,Currency code,Cost,Conversions
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/?utm_contentP=recursos_semipresenciales-en-virtuales_test{ignore}&utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=senales_dinamico,2025-04-01,18,190,USD,6.33,1.08
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=extension-matricula,2025-04-01,2,968,USD,1.64,0.50
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=extension-sitio-12-sedes,2025-04-01,15,"1,488",USD,7.06,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=extension-sitio-top-1-bolsa-trabajo,2025-04-01,0,578,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=senales_generico-prestigio-11-oct-24,2025-04-01,58,"10,720",USD,8.08,0.24
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=senales_generico-prestigio-11-oct-24{ignore}&utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=senales_dinamico,2025-04-01,191,"10,034",USD,74.50,18.75
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/{ignore}?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=senales_dinamico,2025-04-01,0,86,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/administracion-bancaria-y-financiera/?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=extension-sitio-admin-bancario,2025-04-01,0,578,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/administracion-bancaria-y-financiera/{ignore}?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=senales_dinamico,2025-04-01,1,66,USD,0.68,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/administracion-de-empresas/?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=extension-sitio-admin-empresas,2025-04-01,0,389,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general,https://carrera.sise.edu.pe/administracion-de-empresas/{ignore}?utm_source=google&utm_medium=pmax-paid&utm_campaign=SIS-Pre_google_pmax_aon_2025_1_conversiones_subasta_carreras-general&utm_content=senales_dinamico,2025-04-01,0,14,USD,0.00,0.00
