Día,"Nombre de la cuenta","Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Divisa,"Importe gastado (USD)","Costo por registro completado","Registros completados en el sitio web",Alcance,Impresiones,Frecuencia,"Clics (todos)","CPC (todos)","CTR (todos)","Clics en el enlace","CPC (costo por clic en el enlace)","CTR (porcentaje de clics en el enlace)","Visitas a la página de destino","Costo por visita a la página de destino","Conversaciones con mensajes iniciadas","CP - Comunicación audiovisual","CP - Computación e informática","CP - Marketing","CP - Publicidad y marketing","CP - Administración de hoteles","CP - Diseño de modas","CP - Negocios Internacionales","CP - Secretariado ejecutivo","CP - Desarrollo de software","CP - Landing general","CP - Periodismo audiovisual","CP - Contabilidad","CP - Administración bancaria y financiera","CP - Fisioterapia y rehabilitación","CP - Gastronomía","CP - Ciberseguridad","CP - Administración de empresas","CP - Enfermería","CP - Redes y seguridad informática","CP - Diseño de interiores","CP - Administración logística","CP - Diseño gráfico","CP - Software","CP - Tëcnica en farmacia","CP - Cpex","Clientes potenciales de Meta","CP - Cursos","CP - Cluster gestión","Inicio del informe","Fin del informe"
2025-04-15,SISE_CPEX_FB,SIS-CPEX_social-media_facebook_aon_2025_1_conversiones_subasta_cpex,intereses_escuela-virtual-cpex_cpl,img_software_13-mar-2025_intereses_ppl,USD,2.76,2.76,1,773,975,1.26131953,16,0.1725,1.64102564,7,0.39428571,0.71794872,6,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CPEX_FB,SIS-CPEX_social-media_facebook_tactica_2025_1_conversaciones_subasta_whastapp-bbdd,bbdd_cpex_cpc,img_contabilidad_06-ene-2025_intereses_ppl,USD,1.25,,,361,503,1.3933518,1,1.25,0.19880716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CPEX_FB,SIS-CPEX_social-media_facebook_tactica_2025_1_conversaciones_subasta_whastapp-bbdd,bbdd_cpex_cpc,img_desarrollo-de-software_06-ene-2025_intereses_ppl,USD,0.51,,,97,117,1.20618557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CPEX_FB,SIS-CPEX_social-media_facebook_tactica_2025_1_conversaciones_subasta_whastapp-bbdd,bbdd_cpex_cpc,img_diseno-grafico_06-ene-2025_intereses_ppl,USD,0.17,,,61,68,1.1147541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CPEX_FB,SIS-CPEX_social-media_facebook_tactica_2025_1_conversaciones_subasta_whastapp-bbdd,intereses_carrera-dos-años_cpc,img_termina-tu-carrera_09-ene-2025_intereses_ppl,USD,11.28,,,3100,4324,1.39483871,36,0.31333333,0.83256244,25,0.4512,0.57816836,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,advantage_excel_cpl,img_excel-grati_17-dic-2024_intereses_ppl,USD,0.01,,,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,advantage_excel_cpl,img_excel-paquete_ppl_null,USD,2.78,,,681,712,1.04552129,12,0.23166667,1.68539326,3,0.92666667,0.42134831,2,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,advantage_excel_cpl,img_excel_01-feb-2025_intereses_ppl,USD,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-contable_cpl,img_asistente-contable-100%-virtual_ppl_null,USD,0.14,,,8,9,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-contable_cpl,img_asistente-contable-sofware-concar_ppl_null,USD,0.01,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-contable_cpl,img_asistente-contable_07-feb-2025_intereses_ppl,USD,0.83,0.83,1,198,220,1.11111111,7,0.11857143,3.18181818,1,0.83,0.45454545,1,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-contable_cpl,ppl_asistente-contable_cursos___mar_26,USD,0.11,,,17,19,1.11764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-gerencia_cpl,img_asistente-gerencia-alta-demanda_ppl_null,USD,0.01,,,4,4,1,2,0.005,50,2,0.005,50,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-gerencia_cpl,img_asistente-gerencia-curso-corto_ppl_null,USD,0.02,,,7,7,1,1,0.02,14.28571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-gerencia_cpl,img_asistente-gerencia-modalidad-virtual_ppl_null,USD,0.22,,,15,16,1.06666667,1,0.22,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-gerencia_cpl,img_asistente-gerencia_01-feb-2025_intereses_ppl,USD,0.04,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-gerencia_cpl,img_asistente-gerencia_15-ene-2025_intereses_ppl,USD,0.02,,,5,6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-gerencia_cpl,img_asistente-gerencia_21-nov-2024_intereses_ppl,USD,0.02,,,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-gerencia_cpl,ppl_asistente-gerencia_cursos___mar_26,USD,0.02,,,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-planilla_cpa,img_asistente-planillas-corto-virtual_ppl_null,USD,1.51,,,375,410,1.09333333,10,0.151,2.43902439,2,0.755,0.48780488,1,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-planilla_cpa,img_asistente-planillas-modalidad-100-virtual_ppl_null,USD,0.02,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_asistente-planilla_cpa,ppl_asistente-planilla_cursos___mar_26,USD,0.01,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_cajero-financiero_cpl,img_cajero-financiero-m2_01-feb-2025_intereses_ppl,USD,0.01,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_cajero-financiero_cpl,img_cajero-financiero-resuelve-tu-futuro_intereses_ppl_null,USD,6.31,0.90142857,7,3050,3279,1.07508197,55,0.11472727,1.67734065,34,0.18558824,1.03690149,22,0.28681818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_cajero-financiero_cpl,img_cajero-financiero_29-oct-24_intereses_ppl,USD,0.38,,,74,89,1.2027027,1,0.38,1.12359551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_excel_cpl,img_excel-grati_17-dic-2024_intereses_ppl,USD,0.02,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_excel_cpl,img_excel-paquete_ppl_null,USD,3.07,3.07,1,687,752,1.09461426,7,0.43857143,0.93085106,5,0.614,0.66489362,2,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_excel_cpl,img_excel-sanvalentin-intereses_ppl_null,USD,3.36,1.12,3,1271,1309,1.02989772,31,0.1083871,2.36822002,11,0.30545455,0.84033613,8,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_excel_cpl,img_excel_01-feb-2025_intereses_ppl,USD,0.02,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_ia-para-los-negocios_facebook_cursos__cpl,ppl_ia-para-los-negocios_cursos___abr_14,USD,1.3,1.3,1,231,267,1.15584416,9,0.14444444,3.37078652,3,0.43333333,1.12359551,3,0.43333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_logistica_cpa,img_asistente-logistica-alta-demanda_ppl_null,USD,1.07,0.35666667,3,262,301,1.14885496,6,0.17833333,1.99335548,6,0.17833333,1.99335548,5,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_logistica_cpa,img_asistente-logistica-modalidad-virtual_ppl_null,USD,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_logistica_cpa,img_logistica_29-oct-24_intereses_ppl,USD,0.01,,,5,5,1,1,0.01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_logistica_cpa,ppl_logistica_cursos___mar_26,USD,0.17,,,58,60,1.03448276,3,0.05666667,5,1,0.17,1.66666667,1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_office_cpl,img_office_12-nov-2024_intereses_ppl,USD,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_power-bi_cpl,img_power-bi-15julio_ppl_null,USD,7.29,2.43,3,889,1023,1.15073116,26,0.28038462,2.54154448,13,0.56076923,1.27077224,10,0.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,intereses_power-bi_cpl,img_power-bi-boy-12set_ppl_null,USD,0.17,,,20,25,1.25,1,0.17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,lal_impchina_cpl,img_impchina_01-feb-2025_lal_ppl,USD,3.91,1.955,2,776,879,1.13273196,12,0.32583333,1.36518771,7,0.55857143,0.7963595,5,0.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,lal_impchina_cpl,img_impchina_12-nov-2024_lal_ppl,USD,1.15,,,247,279,1.12955466,3,0.38333333,1.07526882,2,0.575,0.71684588,2,0.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,lal_impchina_cpl,img_importacion-china-m3-13set_ppl_null,USD,1.92,0.96,2,315,343,1.08888889,11,0.17454545,3.20699708,4,0.48,1.16618076,4,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-1,lal_office_cpl,img_office_12-nov-2024_lal_ppl,USD,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,abierto_creacion-contenido_cpl,img_creacion-contenido_07-mar-2025_abierto_ppl,USD,0.93,0.465,2,392,400,1.02040816,15,0.062,3.75,4,0.2325,1,5,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,abierto_diseno-espacio-residenciales_facebook_cursos__cpl,ppl_diseno-espacio-residenciales_cursos___abr_4,USD,1.24,0.62,2,296,337,1.13851351,4,0.31,1.18694362,1,1.24,0.29673591,1,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,abierto_edicion_cpa,img_edicion-de-video_07-mar-2025_abierto_ppl,USD,9.39,1.34142857,7,3341,3968,1.18766836,58,0.16189655,1.46169355,26,0.36115385,0.65524194,20,0.4695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,abierto_edicion_cpa,img_edicion-post-video-modalidad-virtual_ppl_null,USD,3.58,0.59666667,6,959,1122,1.16996872,22,0.16272727,1.96078431,13,0.27538462,1.15864528,12,0.29833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,abierto_marketing_cpa,img_marketing-digital-inteligencia-artificial-_ppl_null,USD,0.33,,,42,45,1.07142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,abierto_marketing_cpa,img_marketing-digital_15-ene-2025_abierto_ppl,USD,0.02,,,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,abierto_marketing_cpa,img_publicidad-marketing-digital-m4-13set_ppl_null,USD,0.81,,,56,60,1.07142857,4,0.2025,6.66666667,2,0.405,3.33333333,1,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,abierto_marketing_cpa,ppl_marketing_cursos___mar_26,USD,0.04,,,10,10,1,1,0.04,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,intereses_diseno-grafico_cpl,img_diseno-grafico-cintillo-photoshop-programas_ppl_null,USD,0.57,,,113,124,1.09734513,2,0.285,1.61290323,1,0.57,0.80645161,2,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,intereses_diseno-grafico_cpl,img_diseno-grafico_11-mar-2025_intereses_ppl,USD,0.01,,,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,intereses_diseno-grafico_cpl,ppl_diseno-grafico_cursos___mar_26,USD,0.04,,,9,11,1.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,intereses_fotografia_cpl,img_fotografia-2setiembre_intereses-ppl_null,USD,3.83,1.915,2,1110,1257,1.13243243,29,0.13206897,2.30708035,13,0.29461538,1.03420843,12,0.31916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,intereses_fotografia_cpl,img_fotografia_07-mar-2025_intereses_ppl,USD,5.7,0.7125,8,2267,2496,1.10101456,56,0.10178571,2.24358974,34,0.16764706,1.36217949,23,0.24782609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,intereses_patronaje_cpl,Img_patronaje-confeccion_tecnicas-escenciales-06set_ppl_null_,USD,5.83,1.4575,4,1842,2076,1.12703583,66,0.08833333,3.17919075,24,0.24291667,1.15606936,22,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,intereses_patronaje_cpl,img_patronaje-confeccion_15-ene-2025_intereses_ppl,USD,0.9,0.9,1,160,192,1.2,12,0.075,6.25,6,0.15,3.125,4,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,intereses_patronaje_cpl,img_patronaje_26-nov-2024_intereses_ppl,USD,0.66,0.66,1,188,213,1.13297872,7,0.09428571,3.28638498,1,0.66,0.46948357,1,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,lal_diseno-web_cpl,img_diseno-web-15julio_lal-ppl_null,USD,0.01,,,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-2,lal_diseno-web_cpl,img_diseno-web-certificacion-record-08ago_lal-ppl_null,USD,2.41,1.205,2,495,583,1.17777778,14,0.17214286,2.40137221,6,0.40166667,1.02915952,3,0.80333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-3,intereses_ciberseguridad_cpl,Img_gestion-ciberseguridad_conviertete-experto-06set_ppl_null_,USD,0.57,0.285,2,118,136,1.15254237,8,0.07125,5.88235294,5,0.114,3.67647059,4,0.1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-3,intereses_ciberseguridad_cpl,ppl_ciberseguridad_cursos___mar_26,USD,0.21,,,36,44,1.22222222,4,0.0525,9.09090909,1,0.21,2.27272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-3,intereses_programacion_cpl,img_programacion-desde-cero-2_01-feb-2025_intereses_ppl,USD,0.55,,,52,58,1.11538462,3,0.18333333,5.17241379,1,0.55,1.72413793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-3,intereses_programacion_cpl,ppl_programacion-desde-cero_cursos___mar_26,USD,4.39,2.195,2,1182,1440,1.21827411,35,0.12542857,2.43055556,16,0.274375,1.11111111,11,0.39909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-3,lal_ensamblaje_cpl,img_ensamblaje-cisco_ppl_null,USD,12.77,1.82428571,7,9729,10780,1.10802755,151,0.08456954,1.40074212,54,0.23648148,0.50092764,33,0.3869697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-3,lal_ensamblaje_cpl,img_ensamblaje_01-feb-2025_intereses_ppl,USD,1.89,1.89,1,567,700,1.2345679,14,0.135,2,3,0.63,0.42857143,2,0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-4,intereses_bartender_cpl,img_bares_26-nov-2024_intereses_ppl,USD,0.29,0.29,1,68,76,1.11764706,3,0.09666667,3.94736842,2,0.145,2.63157895,2,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-4,intereses_bartender_cpl,img_bartender-6-meses_ppl_null-v2,USD,0.41,,,73,95,1.30136986,3,0.13666667,3.15789474,1,0.41,1.05263158,1,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-4,intereses_bartender_cpl,img_bartender-uniforme-gratis-marzo_ppl_null,USD,2.48,2.48,1,925,1160,1.25405405,22,0.11272727,1.89655172,7,0.35428571,0.60344828,4,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-4,intereses_cocina-peruana_cpl,img_cocina-peruana_15-ene-2025_intereses_ppl,USD,0.04,,,19,19,1,1,0.04,5.26315789,1,0.04,5.26315789,1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-4,intereses_cocina-peruana_cpl,img_cocina-peruana_29-ene-2025_intereses_ppl,USD,0.44,,,68,73,1.07352941,4,0.11,5.47945205,1,0.44,1.36986301,1,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-4,intereses_nutricion_cpl,img_nutricion-saludable-100-virtual_ppl_null,USD,3.14,3.14,1,948,1073,1.13185654,53,0.05924528,4.93942218,11,0.28545455,1.02516309,10,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-4,intereses_nutricion_cpl,img_nutricion-saludable_ppl_null,USD,0.71,,,124,151,1.21774194,5,0.142,3.31125828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CURSOS_FB,SIS-Cursos_social-media_facebook_aon_2025_2_conversiones_subasta_campana-4,intereses_panaderia_cpl,img_panaderia_01-feb-2025_intereses_ppl,USD,1.53,1.53,1,415,457,1.10120482,9,0.17,1.96936543,4,0.3825,0.87527352,2,0.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
