Campaign name,Ad group name,Ad name,Optimization goal,By Day,Account name,Cost,Impressions,Clicks (destination),Reach,Conversions,Currency
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-11,PE_SMB_IMS_SISE,3.83,9508,14,8815,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-10,PE_SMB_IMS_SISE,3.81,5949,14,5607,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-el-camino-al-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-15,PE_SMB_IMS_SISE,3.79,17982,35,17719,0,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_gastronomia-m2_carreras___abr_9,Conversion,2025-04-13,PE_SMB_IMS_SISE,3.77,11753,54,10905,35,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-11,PE_SMB_IMS_SISE,3.77,10260,15,9875,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-11,PE_SMB_IMS_SISE Idiomas2,3.76,7229,17,6394,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-el-camino-al-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-13,PE_SMB_IMS_SISE,3.75,18169,20,18111,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-14,PE_SMB_IMS_SISE,3.73,4228,9,4127,1,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-04,PE_SMB_IMS_SISE Idiomas2,3.71,2079,62,1836,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-11,PE_SMB_IMS_SISE,3.71,7988,31,7682,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-05,PE_SMB_IMS_SISE,3.70,5169,6,4975,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-01,PE_SMB_IMS_SISE,3.62,3966,6,3690,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-04,PE_SMB_IMS_SISE,3.60,4471,11,4127,1,USD
sise_carreras_virtuales_aon_tiktok_social_conversion_conversiones_carreras_2025_abr_9,smart_todas-las-carreras_cpl,ssstik.io_1744243122075_EJ6FLodG.mp4,Conversion,2025-04-10,PE_SMB_IMS_SISE,3.58,16065,12,14842,0,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_gastronomia-m1_carreras___abr_9,Conversion,2025-04-11,PE_SMB_IMS_SISE,3.58,7347,80,6232,52,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-13,PE_SMB_IMS_SISE Idiomas2,3.58,4445,17,4064,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-el-camino-al-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-14,PE_SMB_IMS_SISE,3.56,15867,31,15853,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-12,PE_SMB_IMS_SISE Idiomas2,3.54,5533,11,4866,1,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-06,PE_SMB_IMS_SISE Idiomas2,3.43,6156,11,5434,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-03,PE_SMB_IMS_SISE,3.42,22108,22,22016,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-04,PE_SMB_IMS_SISE,3.42,3987,13,3784,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-09,PE_SMB_IMS_SISE Idiomas2,3.41,3703,36,3378,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_sise-virtual-nacho_carreras___abr_9,Impression,2025-04-12,PE_SMB_IMS_SISE,3.40,15246,0,15046,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-10,PE_SMB_IMS_SISE,3.40,5434,7,5249,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-el-camino-al-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-12,PE_SMB_IMS_SISE,3.38,15710,20,15572,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-07,PE_SMB_IMS_SISE Idiomas2,3.32,5223,16,4624,4,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_admi-empresas-m2_carreras___abr_9,Conversion,2025-04-10,PE_SMB_IMS_SISE,3.30,11279,96,9834,51,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-06,PE_SMB_IMS_SISE,3.30,7124,20,6674,1,USD
sise_carreras_virtuales_aon_tiktok_social_conversion_conversiones_carreras_2025_abr_9,smart_todas-las-carreras_cpl,SISE_7338148585353088261-no-watermark_kx8r2679.mp4,Conversion,2025-04-10,PE_SMB_IMS_SISE,3.21,15240,19,14187,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-11,PE_SMB_IMS_SISE,3.20,4169,11,3996,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-10,PE_SMB_IMS_SISE Idiomas2,3.19,5068,19,4590,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-07,PE_SMB_IMS_SISE,3.17,7418,11,7143,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-15,PE_SMB_IMS_SISE Idiomas2,3.16,3685,38,3310,4,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-05,PE_SMB_IMS_SISE Idiomas2,3.15,3399,42,3059,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-08,PE_SMB_IMS_SISE Idiomas2,3.13,3618,47,3239,0,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_gastronomia-m1_carreras___abr_9,Conversion,2025-04-10,PE_SMB_IMS_SISE,3.11,11153,68,10362,44,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-07,PE_SMB_IMS_SISE Idiomas2,3.10,3216,47,2877,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-10,PE_SMB_IMS_SISE,3.08,7140,15,6815,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-14,PE_SMB_IMS_SISE Idiomas2,3.07,5646,26,5077,1,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_computacion-m1_carreras___abr_9,Conversion,2025-04-13,PE_SMB_IMS_SISE,3.06,10735,41,10167,22,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-03,PE_SMB_IMS_SISE Idiomas2,3.05,4893,16,4432,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-05,PE_SMB_IMS_SISE,3.01,5173,17,4790,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-13,PE_SMB_IMS_SISE,3.00,3083,6,2961,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-10,PE_SMB_IMS_SISE Idiomas2,2.99,3806,36,3427,1,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-05,PE_SMB_IMS_SISE Idiomas2,2.98,5211,14,4755,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-13,PE_SMB_IMS_SISE Idiomas2,2.97,4652,13,4153,2,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-15,PE_SMB_IMS_SISE Idiomas2,2.96,4634,27,4150,1,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-08,PE_SMB_IMS_SISE Idiomas2,2.96,4857,12,4300,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-14,PE_SMB_IMS_SISE Idiomas2,2.95,6745,19,6000,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-04,PE_SMB_IMS_SISE,2.91,2591,11,2450,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-13,PE_SMB_IMS_SISE,2.91,7229,7,6965,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-13,PE_SMB_IMS_SISE,2.90,3137,11,2720,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-el-camino-al-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-07,PE_SMB_IMS_SISE,2.89,12419,26,12428,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-14,PE_SMB_IMS_SISE,2.87,4953,10,4733,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-09,PE_SMB_IMS_SISE Idiomas2,2.87,4413,10,3965,1,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-06,PE_SMB_IMS_SISE Idiomas2,2.86,4071,28,3614,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-09,PE_SMB_IMS_SISE,2.85,3310,7,3109,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-08,PE_SMB_IMS_SISE,2.78,4674,9,4446,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-08,PE_SMB_IMS_SISE,2.71,5012,11,4856,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-07,PE_SMB_IMS_SISE,2.65,6483,5,6387,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-12,PE_SMB_IMS_SISE,2.62,2893,5,2703,0,USD
